Транскрипция записи "ФКР. Статус" 05 августа 2026 г
**00:08:06** **Михаил Кузьменко ФК:** Он должен увидеть значение по умолчанию. Ну, в данном случае это Минкультура у нас.

**00:08:14** **Роман Чернышов:** Ага. Но сейчас вот так и настроено получается, да? Передача фильтров отключена. Вот это нормально, или... Тут возникает проблема с тем, что ВПО теперь не передаем, а вот другие фильтры надо было бы передавать. Вот тут есть какой-то разрыв в поведении?

**00:08:37** **Михаил Кузьменко ФК:** Ну, смотрите, другие фильтры, мы пока о них не думали. Мы пока говорим про конкретный фильтр, вот проектный офис, который на этом, ну, то есть на федеральном уровне называется наименование ВПО.

**00:08:53** **Роман Чернышов:** Хорошо. Вот сейчас получается, в карточке ВПО передачу, ну, вернее, при переходе с главного экрана на карточку ВПО отключена передача фильтров. Это устраивает решение или чем оно не устраивает? Хотелось бы понять.

**00:09:15** **Михаил Кузьменко ФК:** Смотрите, то, что сейчас отключено, это в какой-то мере решило наши проблемы. То есть это довольно давно мы уже отключили. Но возникает какая проблема? Вот мы, допустим, здесь сейчас выбор по умолчанию. Давайте мы выберем какой-нибудь другой выбор. Выберем Минздрав, вот там какой-нибудь МВД, не суть, да. Выбрали. Да, качества работы у них нет. Теперь он возвращается обратно на главный экран. Он потерял выбор, который здесь сделал. Потому что в обратную сторону тоже ничего не передается.

**00:10:06** **Роман Чернышов:** Тоже сейчас отключена передача фильтров? Угу.

**00:10:09** **Михаил Кузьменко ФК:** Да. Теперь он возвращается обратно на карточку ВПО.

**00:10:15** **Владислав Харченко:** Мы ничего не выбираем, да, в наименовании ВПО сейчас?

**00:10:18** **Михаил Кузьменко ФК:** Ничего, да. Ну, все пусть будут, да.

**00:10:20** **Роман Чернышов:** Ну, тут хотелось бы, чтобы вот он, МВД мы выбрали, то есть МВД, чтобы на главный экран был передан, да? Угу.

**00:10:28** **Михаил Кузьменко ФК:** Сейчас поясню. Здесь мы, видите, наблюдаем опять значение по умолчанию Минкультуры. То есть вот он выбрал на главном экране, перешел на карточку ВПО, там выбрал, потом вернулся обратно, еще раз вернулся обратно и потерял все свои выборы. То есть каждый раз, когда он переключается, он теряет свой выбор. И вот это хотелось бы избежать. То есть хотелось бы, чтобы фильтр, который он, единичный фильтр, который бы он выбрал, он его сопровождал всю сессию на всех экранах с единичным выбором. То же самое, если он выбрал множественный фильтр, то этот выбор его сопровождал бы всю сессию на всех экранах с множественным выбором.

**00:11:18** **Роман Чернышов:** Про первый тезис вроде бы понятно. А про второй, про множественный выбор, чтобы сопровождал, вот это не очень понятно, если он выбрал множественный выбор на главном экране, а на остальных отчетах, вкладках единичные выборы, то приемлемо ли?

**00:11:36** **Михаил Кузьменко ФК:** Ну, я оговорился. Я оговорился, что тот множественный выбор, который он совершил на главном экране, чтобы он его сопровождал всю сессию, но только на экранах с множественным выбором. Чтобы сессия помнила, что для экрана с множественным выбором у него такой выбор, а для экрана с единичным выбором у него такой-то выбор.

**00:12:04** **Роман Чернышов:** Угу. И при этом сами значения передавать получается надо или не надо? То есть вот в множественном мы выбрали 5, мы переходим в главном экране, переходим в карточку ВПО, надо ли какой-то из 5 передавать или вообще не надо? И обратно?

**00:12:20** **Михаил Кузьменко ФК:** Здесь у нас на схеме мы решили, что если у него выбрано пять, то не надо ничего передавать. А если у него выбран один на главном экране, то тогда, ну, то есть если он на экране с множественным выбором выбрал один какой-то вариант, то вот его можно передать на экран с единичным выбором. Давайте пройдем, чтобы наглядно было. То есть на главном экране мы вместо 5 выбрали какой-то 1. Вот если мы выбрали 5, как раньше, то не надо передавать на карточку ВПО ничего. А если мы выбрали здесь изначально МВД... 1 МВД выбрали... и после этого пошли на карточку ВПО, то тогда логично было бы, чтобы этот выбор сохранился у него здесь.

**00:13:23** **Роман Чернышов:** Угу. А когда мы с карточки ВПО обратно переходим на главный экран ВПО? Ну, тут мы, например, вместо МВД потом поменяли на вот Минкультуру, к примеру. Вдруг решили, я не знаю, возможен такой сценарий или нет, сюда зашли через МВД, а потом в Минкультуру пошли посмотреть.

**00:13:41** **Михаил Кузьменко ФК:** Ну, не знаю, насколько он возможен. Но то есть мы в своей схеме предложили не передавать из единичного на множественное никогда.

**00:13:49** **Роман Чернышов:** Не передавать, то есть на множественном. Но при этом хотелось бы, чтобы вот мы вернулись на главный экран, и вот то, что там было изначально, вот сейчас мы МВД выбрали, чтобы там МВД оставался. Если мы там выбрали пять каких-то значений, то те же пять значений, с которых мы изначально зашли, получается, в этой сессии. Да. Вов, Вадим, твои мысли.

**00:14:20** **Вадим Мединцев:** Так, давайте по простому сценарию. То есть мы сейчас видим шесть разных дашбордов, по сути, правильно? И мы можем, например, из одного дашборда главный экран перейти в несколько дашбордов с таким же множественным выбором. Ну, это какие у нас здесь, например, там рейтинг, динамика, возможно, что там ещё.

**00:14:41** **Михаил Кузьменко ФК:** Да, давайте. То есть здесь мы выберем, допустим, вот, ну, некоторое количество. И перейдём.

**00:14:47** **Вадим Мединцев:** Угу. Да, то есть именно на вот этих кнопках, рейтинг, динамика и остальные дашборды с множественным выбором, мы сейчас просто включаем передачу контекста фильтрации, и всё работает как вам надо. То есть это целевое поведение, правильно?

**00:15:03** **Владислав Харченко:** В рейтинг и динамика... тут единственный выбор.

**00:15:04** **Михаил Кузьменко ФК:** Так, не угадали мы с рейтингом, да. В карточку, а параметры оценки, значит, надо было нам пойти.

**00:15:10** **Вадим Мединцев:** Ну да, вот я не совсем в контексте этих конкретно дашбордов, поэтому подскажите, какие здесь с множественным выбором, какие с одиночным. Но я имею в виду, что если мы переходим из множественного в множественный, сейчас просто включая передачу контекста фильтрации, это покрывает целевое поведение в этом конкретном случае. То же самое с одиночным выбором, когда мы переходим между ними, мы сейчас просто включаем передачу контекста фильтрации, и нет разрыва. Разрыв у нас появляется, когда мы переходим из множественного выбора на дашборды с одиночным выбором.

**00:15:46** **Михаил Кузьменко ФК:** Владислав, здесь надо было всё-таки выбор сделать, потому что Минкультура — это выбор по умолчанию, и поэтому он-то понятно пронаследуется.

**00:15:53** **Владислав Харченко:** В рейтинге динамика там МВД России был по умолчанию.

**00:15:59** **Михаил Кузьменко ФК:** А, вот еще лучше. У нас еще по умолчанию, и то есть надо поправить.

**00:16:05** **Михаил Кузьменко ФК:** Да, ну да, но это не досмотрели просто. Надо, чтобы он был одинаковый.

**00:16:13** **Вадим Мединцев:** Так. То есть в те моменты, когда у нас не происходит конфликта типа фильтра, одиночный, множественный, у нас как бы всё работает по целевому поведению. Когда у нас возникает конфликт типа при передаче фильтрации, вот надо решить, как мы будем разрешать этот конфликт. После перехода ещё раз с дашборда с множественным выбором на дашборд с одиночным выбором, там планируется вносить какие-то изменения в фильтры, менять их? То есть мы, может быть, в одиночный выбор перешли, и мы потом хотим по разным карточкам попереключаться. И это важно понять. То есть планируются ли изменения фильтра?

**00:16:59** **Михаил Кузьменко ФК:** Нет, то есть, ну конечно. То есть на каждом экране он может менять всё что угодно.

**00:17:06** **Вадим Мединцев:** Ну вот, это важный момент, потому что...

**00:17:08** **Михаил Кузьменко ФК:** Это должно, то есть в контексте для этого типа фильтра должно запомниться это значение. Вот он выбрал здесь, соответственно, для одиночных МВД. Для всех одиночных теперь в контексте помнится, что он выбрал МВД.

**00:17:25** **Вадим Мединцев:** Ну, в данном случае у нас пока нет такого механизма контекста. Но сейчас, если он перейдет отсюда в любой фильтр с одиночным выбором, он и передаст контекст фильтрации. Мы просто на кнопки, которые отвечают за дашборды с одиночным выбором, мы вешаем передачу контекста фильтрации. Для кнопок там, где множественный, мы выключаем сейчас передачу контекста фильтрации, и он не будет передавать.

**00:17:55** **Владислав Харченко:** Ну да, сейчас так.

**00:17:55** **Михаил Кузьменко ФК:** А, ну это сейчас уже, да, уже должно было бы быть сделано, Владимир. То есть вот передача контекста, это мы уже делали. Единственное, что мы сейчас вот не проверили, или проверили, но я не очень внимательно смотрел. Единичный всё-таки у нас передается или не передается? Да, ну вот. То есть здесь вопросов у нас нет.

**00:18:20** **Вадим Мединцев:** Поведение, которое вы хотите, это да, это переходим тогда к какому-то сессионному хранению. Ну вот тут, Ром, поправь меня, я не очень понимаю как.

**00:18:32** **Роман Чернышов:** Тут как будто бы два момента есть. Вот сейчас, чтобы решить первый вопрос, как идея сейчас возникла, если мы к настройкам, где мы включаем-выключаем передачу фильтров, добавим еще один флажок, настройку, которая будет говорить, условно, вот если мы её включили, то мы фильтр по одному и тому же полю, но, например, в одном отчёте это множественный, в другом единичный, мы считаем, что это разные фильтры, например, такая фантазия. И вот туда мы ничего не передаем. То есть чтобы их воспринимать как разные элементы, разные сущности условно. Не передавать туда ничего. Тогда мы из множественного в единичный переходим, а ничего не передаём туда, ну наверное, и он ещё должен как дефолтный, получается, сработать. Или из единичного во множественный переходим, тоже ничего не передаём в таком случае. Гипотеза, первая настройка. А вторая история получается... это звучит так, что вот пока пользователь зашёл сюда, да, вот у него есть действующая сессия, не знаю, сколько там она, 24 часа у нас стандартно она длится, и в каком-то отчёте он какие-то фильтры повыбирал, потом он этот отчёт, например, фактически закрыл или перешёл в другой отчёт, а потом он туда вернулся, ему как будто бы отчёт должен показать не дефолтное состояние, отброситься, а вот то последнее состояние, которое было. И вот это вот такой момент, немножко как бы у него две стороны медали. То есть как будто бы не всегда такое поведение это хорошо, потому что да, мы зашли в какой-то отчёт, там что-то понажимали, система его запомнила, ушли оттуда. И вот мы как бы потом сбросить мы это всё можем только сможем только через кнопку. А сейчас просто достаточно обновил страницу, и уже вот всё вернулся к исходному состоянию, можешь заново набирать фильтры. Например, может быть много каких-то фильтров было выбрано, там уже пользователь сам с чем-то запутался, он хочет вернуться к исходному состоянию. Он сейчас может перезагрузить страницу или просто вернуться, отчёт открыть-закрыть. Вот такие мысли.

**00:21:10** **Михаил Кузьменко ФК:** Ну, наверное, Роман, перезагрузка таблицы точно не должна сбрасывать фильтры.

**00:21:20** **Владислав Харченко:** Коллеги, у меня вопрос еще один по вводным данным. Михаил, подскажите, пожалуйста, какое ожидается поведение в таком сценарии? Мы из главного экрана ВПО выбрали 3 фильтра, например. Перешли мы в карточку ВПО, то есть из множества в единственный выбор. А потом мы перешли из единственного во множество, например, выгрузка ВПО. Но при этом мы зашли на него только впервые. Подскажите, вот фильтры главный экран ВПО и выгрузка ВПО должны быть как-то связаны? Да. То есть тут выгрузка ВПО мы ожидаем 3 выбранных значения, которые мы выбрали на главном экране ВПО?

**00:22:13** **Вадим Мединцев:** Дабы поддержать такое поведение, только вариант Романа с тем, чтобы развести фильтры с разным, ну, множественным, одиночным выбором вообще как разные фильтры. И тогда мы передаем общий контекст фильтрации между всеми тремя вкладками, ну, как бы вкладками, тремя разными дашбордами. И тогда, в принципе, это поведение будет целевым, ну вот как вы просите. Но да, это тогда мы просто ставим при передаче контекста фильтрации, что фильтры с разным типом выбора, то есть множественным, одиночным, рассматриваются как разные фильтры.

**00:22:48** **Владимир Кудрин:** Там же не просто, да, Вадим, это разные фильтры. Тут вопрос сохранения этого контекста на глобальном уровне этих как бы сессий.

**00:23:00** **Роман Чернышов:** Это вот второй вопрос, да.

**00:23:01** **Вадим Мединцев:** Это другой вариант, Вов, тут Рома сейчас предложил в принципе, мне кажется, хороший рабочий вариант, когда мы просто разделяем и рассматриваем фильтры с разным типом выбора как разные фильтры.

**00:23:17** **Владимир Кудрин:** Да, но просто тогда в сценарии Влада, когда мы дойдем до третьего отчёта, множественный выбор не заполнится тем, что было выбрано на первом отчёте.

**00:23:26** **Вадим Мединцев:** А почему? У нас общий контекст фильтрации, мы его передали еще с первого отчёта на второй отчёт. Мы одиночные фильтры заполнили на втором отчёте, но контекст фильтрации всё ещё тянется из первого отчёта. И при переходе на третий у нас передастся и контекст фильтрации первого отчёта, и контекст фильтрации второго отчёта. И тогда заполнится наш множественный выбор, который был выбран там.

**00:23:48** **Владимир Кудрин:** Это тогда, ну да, окей, можно так наверное сделать. Прямо сейчас наверное можно было бы это сделать. Надо тогда на втором отчёте делать невидимые фильтры, вот эти множественные, которые ни на что не влияют, но контекст хранят. То есть мы из первого во второй перешли, множественный выбор сохранили, из второго в третий перешли, этот множественный выбор передали. На втором отчёте мы их не видим, просто не заполняем, но пользователь их не меняет.

**00:24:20** **Роман Чернышов:** Но сейчас это не получится сделать, потому что у нас ведь мы если добавим два одинаковых, ну, два фильтра по одинаковому полю, они у нас синхронно выравниваются. То есть если единичный, то и второй единичный.

**00:24:29** **Владимир Кудрин:** По одинаковому полю не... не по одинаковому полю, понятно, да. Но тут какие-то сейчас это какие-то танцы с разными полями, не знаю, получится это или не получится. Ну, либо какие-то, да, сессии сохранения. И тут ещё вот на последний вопрос про, да, простите, про передачу периодов. То есть если мы всё-таки сессии сохраняем, но фильтры не передаём, а период если поменяли, наверное, хочется, чтобы период тоже поменялся и применился ко всем отчётам.

**00:25:04** **Михаил Кузьменко ФК:** Да, здесь сейчас мы поговорим вот ещё про верхние фильтры. Тут кроме периода есть МП/ГП. Вот хотел бы сказать по поводу этой идеи, которую вот Романа обсуждали. На мой взгляд, это хороший подход. Если бы у вас там реализовано было бы, то есть фильтр идентифицировался не по полю бы, а по какому-то ID бы, то вот это, наверное, очень решало бы все проблемы. Да, это не решало бы один нюанс, который мы там в схеме нарисовали. Это что при переходе с главного экрана, если там выбран один проектный офис, мы нарисовали, что тогда это всё-таки должно передаться, так как хоть и множественный фильтр, но выбор там один, тогда как бы логично передать это на карточку ВПО с фильтром единственным. Но это такой момент, что мы, в принципе, могли бы отказаться от этой идеи, если вот основные проблемы наши решало бы такое поведение. Это моё мнение. Теперь по поводу периода. Период должен быть везде одинаковый. И, соответственно, он должен наследоваться. Это у нас контрактная задача. И насколько я понял, контрактная задача — это выбор последнего периода при первом входе пользователя. Сейчас я так понимаю, что решено это следующим образом. То есть если вот здесь выбрать 4-й квартал или 2-й и перейти на главный экран, то мы этот выбор потеряем. И это, конечно, совершенно неправильно. И еще один момент. Если мы здесь выберем «ГП»... Почему-то ГП не стало беленьким, как должно быть?

**00:27:11** **Владислав Харченко:** Так, ну это обсудение мы не обсуждали, насколько помню. Там мы тогда зафиксировались на том, чтобы только серым.

**00:27:15** **Михаил Кузьменко ФК:** А, мы в какой-то момент сделали серым и не вернули его обратно, да? Это вот надо вернуть. И то есть и теперь переключиться на выгрузку, допустим. Ну, ГП сохранился, а период почему-то не сохраняется.

**00:27:41** **Роман Чернышов:** А период наверное не сохраняется, потому что передача фильтров отключена сейчас. Вот если мы куда-то переходили...

**00:27:47** **Владислав Харченко:** А нет, конкретно между главным экраном и выгрузкой ВПО передача фильтров включена. Но есть нюанс, что период это у нас иерархическое поле. И надо перепроверить наименование полей, которые прям в компоненте лежат.

**00:28:00** **Михаил Кузьменко ФК:** Вот почему. Ну, сейчас у нас есть контрактная задача, чтобы вот период выбирался из последнего загруженного периода расчёта. То есть как только мы загружаем новый период расчёта, чтобы по умолчанию при первом входе открывался именно этот новый период. Сейчас же он руками вами устанавливается и, соответственно, даже при переходах между вкладками открывается этот руками установленный период.

**00:28:36** **Владислав Харченко:** У них наименования разные. Можно поменять спокойно, чтобы передавалось.

**00:28:45** **Михаил Кузьменко ФК:** А, ну, то есть это другая проблема. Совместное тестирование сколько нюансов выявляет.

**00:29:00** **Роман Чернышов:** Ну да, коллективное внимание высвечивает. Получается, это настройкой можно решить передачу периода, ну, при условии, что вот когда мы отчёты, вкладки, между которыми переключаемся, включена передача фильтров, вроде бы должно работать. Ну вот надо будет проверить.

**00:29:19** **Михаил Кузьменко ФК:** А давайте, Владислав, такой же эксперимент проведём не с выгрузкой ВПО, потому что выгрузка ВПО — это вкладка, которую изначально мы делали, и поэтому там возможно поэтому и другое наименование. А если переключиться...

**00:29:32** **Владислав Харченко:** Ну, потом же мы на ET процесс переносили, поэтому там названия полей переделывались.

**00:29:40** **Михаил Кузьменко ФК:** Ну ладно, просто мы тогда зафиксируем эту проблему и её опишем. Да, хорошо. Ну, то есть сегодня мы встретились именно про вот фильтр, который наименование ВПО.

**00:30:06** **Роман Чернышов:** По НП/ГП, если я правильно понял, Влад, это тоже что? Это у нас фильтр, переключатель?

**00:30:12** **Владислав Харченко:** Это фильтр, чекбокс.

**00:30:14** **Роман Чернышов:** Фильтр, ага. И по сути, тут противоречий никаких тоже не должно быть в рамках того, что мы обсуждали решение. То есть если мы разделяем поведение, ну вот, единичные, множественные фильтры по одному и тому же полю, считаем разными фильтрами. Ну это так же, как квартал получается общий.

**00:30:41** **Владислав Харченко:** Ну да, проблем не должно быть. На всех дашбордах это единственный выбор, одиночный выбор. Проблем не должно быть.

**00:30:51** **Роман Чернышов:** Владимир, вот у тебя ещё есть какие-то мысли по этому решению?

**00:30:54** **Владислав Харченко:** А, слушайте, ещё может быть проблема быть. Так, а... А, не должно быть. Михаил, подтвердите, пожалуйста, если у нас выбран 24-25 год, то ГП остается серым. Если выбран 26-й год, то ГП становится белым. Правильно понимаю?

**00:31:22** **Михаил Кузьменко ФК:** Да, Владислав, именно так. Ну и то есть вот сейчас всё-таки это сделано как два чекбокса, да, и получается, что оно не всегда предсказуемо ведёт себя, но это тоже как бы отдельная история. Но хотелось бы, вот, чтобы поведение было следующим: что когда мы выбираем период, где нет у нас данных по ГП, то, соответственно, пользователь не может сделать этот выбор, а само название ГП становится серым. И ещё такой момент, что если пользователь переходит с периода, где есть ГП, и он там выбрал ГП, в период, где ГП нет, то этот фильтр тоже должен сменить значение. А то вот сейчас получается, что он пустые данные начинает дашборд отображать.

**00:32:18** **Владислав Харченко:** Ну, если у нас будет везде... если у нас во всех дашбордах будет включена передача фильтров, то не должно быть проблем при переходе с одного дашборда на другой, потому что период будет также передаваться. А у нас фильтр ПМП/ГП чётко на период завязан.

**00:32:38** **Михаил Кузьменко ФК:** Нет, я другое имел в виду. Вот сделайте здесь выбор ГП. И переключите на 4-й квартал.

**00:33:01** **Владислав Харченко:** Ну да. А с точки зрения нашей системы нужно тогда проработать вопрос по связанности фильтров между обычным фильтром и иерархическим фильтром. Потому что если бы это был обычный фильтр, то можно было в настройках фильтра связать его. Но с иерархическим фильтром не уверен, что такое работает.

**00:33:27** **Роман Чернышов:** А связать его для того, чтобы если мы переключились на ГП, а по 4-му кварталу нет никаких данных, чтобы 4-й квартал вообще не показывался, или для чего?

**00:33:36** **Вадим Мединцев:** Нет, я думаю, я думаю, сейчас должен переключиться на МП автоматически, правильно?

**00:33:38** **Михаил Кузьменко ФК:** Нет-нет.

**00:33:42** **Вадим Мединцев:** Ага. И выбор ГП должен быть недоступен. Переключи сейчас вот на МП. Нет, не квартал поменять. Верни обратно квартал и переключи на МП. Нет, верни обратно на ГП, переключи на квартал, как было, на 4-й, и уже потом переключи на МП. Вот такой последовательный.

**00:34:03** **Владислав Харченко:** Сейчас на МП переключаемся.

**00:34:07** **Вадим Мединцев:** Угу. Ну да, может быть, тогда тебе повесить условие, что если возвращаются пустые данные, чтобы он переключал этот фильтр на МП. Это, возможно, решит этот вопрос. Ну, по крайней мере, так костыльно.

**00:34:23** **Владислав Харченко:** Может быть, надо подумать. Может быть, переменные могут решить этот вопрос.

**00:34:39** **Михаил Кузьменко ФК:** Ну и несмотря на то, что он сейчас находится уже в 4-м квартале, да, то есть получается, что выбор ГП, хоть он и серый, но он доступен. Соответственно, как вот сейчас Владислав показывал, что он может переключаться и в 4-м квартале, несмотря на отсутствие данных там.

**00:35:02** **Роман Чернышов:** А хотелось бы, чтобы... Хотелось бы, чтобы туда переключиться нельзя было, да? То есть если по 4-му кварталу данных нет, только по НП, только по нацпроектам, чтобы на госпрограммы нельзя было переключиться.

**00:35:17** **Михаил Кузьменко ФК:** Да, хотелось бы, чтобы нельзя. И хотелось бы, чтобы вот он был, то есть ГП был серый, только, ну, то есть соответственно, чтобы этот чекбокс был запрещён по-настоящему. Сейчас мы его просто цвет изменили во всех периодах, а чтобы он был как ну, то есть запрещён по-настоящему, чтобы его нельзя было выбрать, он был серым в тех кварталах, в которых данных нет.

**00:35:47** **Роман Чернышов:** Ну, наверное, это надо вот там, не знаю, Владислав, попробовать там подумать, вообще получится ли текущим функционалом это сделать. Если не получится, то тогда доработки смотреть, зависимость чекбокса от иерархического фильтра.

**00:36:07** **Вадим Мединцев:** А как такой вариант, что если возвращаются пустые данные, то мы переключаем на МП, то есть мы ставим такое условие. Если человек переключает обратно на ГП, и опять же у нас срабатывает, возвращаются пустые данные, и он опять переключит на МП. Это как бы не совсем то, о чём вы просите, это неполноценная блокировка, но поведение будет как бы ожидаемым, целевым.

**00:36:32** **Михаил Кузьменко ФК:** Ну, наверное, соглашусь, что это лучше, чем сейчас. Ну, как это будет выглядеть, не знаю. То есть вот как это переключение туда-обратно как будет выглядеть. Если это будет незаметно, то тогда да, это поведение лучше, чем сейчас.

